SMILES,PCE
CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(/C=C2/C(=O)C5=CC=CC=C5C2=C(C#N)C#N)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC(/C=C3/C(=O)C4=C(C=CC=C4)C3=C(C#N)C#N)=C2)C=C1,2.21
CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(/C=C2\SC(SCC)=NC2=O)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC(/C=C3\SC(SCC)=NC3=O)=C2)C=C1,0.29
CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(/C=C2\SC(=S)N(CC)C2=O)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC(/C=C3\SC(=S)N(CC)C3=O)=C2)C=C1,1.74
CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(C=C(C#N)C#N)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC(C=C(C#N)C#N)=C2)C=C1,0.55
CCCCC(CC)CN1C(=O)C2=CC(OCCOC)=C3C4=C5C6=C(C=C4)C(=O)N(CC(CC)CCCC)C(=O)C6=CC(C4=CC=C(C6=CC7=C8C(=CC=C9C%10=C%11C(=CC=C%12C(=O)N(CC(CC)CCCC)C(=O)C(=C%12%11)C=C%10OCCOC)C6C98)C(=O)N(CC(CC)CCCC)C7=O)S4)=C5C4=C3C2=C(C=C4)C1=O,4.03
CCCCCCC(CCCCCC)N1C(=O)C2=CC=C3C4=C(C=CC(=C24)C1=O)C1=C2C4=C(C=C1)C(=O)N(C(CCCCCC)CCCCCC)C(=O)C4=CC(C1=CC=C4C(=C1)C1(C5=CC=CC=C5C5=CC=CC=C51)C1=C4C=CC(C4=CC5=C6C(=CC=C7C8=CC=C9C(=O)N(C(CCCCCC)CCCCCC)C(=O)C%10=C9C8=C(C=C%10)C4=C76)C(=O)N(C(CCCCCC)CCCCCC)C5=O)=C1)=C32,9.5
CCCCOC1=C2C3=CC=C4C(=O)N(CC(CC)CCC)C(=O)C5=C4C3=C(C(C3=CC=C(N(C4=CC=C(C6=CC7=C8C(=CC=C9C%10=C(OCCC)C=C%11C(=O)N(CC(CC)CCC)C(=O)C%12=CC=C(C6=C98)C%10=C%12%11)C(=O)N(CC(CC)CCC)C7=O)C=C4)C4=CC=C(C6=CC7=C8C(=CC=C9C%10=C(OCCCC)C=C%11C(=O)N(CC(CC)CCCC)C(=O)C%12=CC=C(C6=C98)C%10=C%12%11)C(=O)N(CC(CC)CCCC)C7=O)C=C4)C=C3)=C5)C3=CC=C4C(=O)N(CC(CC)CCCC)C(=O)C(=C1)C4=C32,3.32
CCCCCC(CCCCC)N1C(=O)C2=CC=C3C4=C5C6=C(C=C4)C(=O)N(C(CCCCC)CCCCC)C(=O)C6=CC4=C5C5=C(C=C(C1=O)C2=C35)C1=C4SC2=C1C1=C3C4=C2CC2C(=O)N(C(CCCCC)CCCCC)C(=O)C5=CC=C(C6=CC=C7C(=O)N(C(CCCCC)CCCCC)C(=O)C(=C1)C7=C63)C4=C52,5.69
CCCCCC(CCCCC)N1C(=O)C2=CC=C3C4=C5C6=C(C=C4)C(=O)N(C(CCCCC)CCCCC)C(=O)C6=CC4=C5C5=C(C=C(C1=O)C2=C35)C1=C4OC2=C1C1=C3C4=C2CC2C(=O)N(C(CCCCC)CCCCC)C(=O)C5=CC=C(C6=CC=C7C(=O)N(C(CCCCC)CCCCC)C(=O)C(=C1)C7=C63)C4=C52,3.2
CCCCCCC(CCCC)N1C(=O)C2=CC=C3C4=C(C=CC(=C24)C1=O)C1=CC=C2C(=O)N(C(CCCC)CCCCCC)C(=O)C4=C2C1=C3C(C1=NC(C2=CC3=C5C(=CC=C6C7=CC=C8C(=O)N(C(CCCC)CCCCCC)C(=O)C9=C8C7=C(C=C9)C2=C65)C(=O)N(C(CCCC)CCCCCC)C3=O)=NC(C2=CC3=C5C(=CC=C6C7=CC=C8C(=O)N(C(CCCC)CCCCCC)C(=O)C9=C8C7=C(C=C9)C2=C65)C(=O)N(C(CCCC)CCCCCC)C3=O)=N1)=C4,8.91
CCCCCCC(CCCC)N1C(=O)C2=CC=C3C4=C(C=CC(=C24)C1=O)C1=CC=C2C(=O)N(C(CCCC)CCCCCC)C(=O)C4=C2C1=C3C(C1=NC(C2=CC3=C5C(=CC=C6C7=CC=C8C(=O)N(C(CCCC)CCCCCC)C(=O)C9=C8C7=C(C=C9)C2=C65)C(=O)N(C(CCCC)CCCCCC)C3=O)=CC(C2=CC3=C5C(=CC=C6C7=CC=C8C(=O)N(C(CCCC)CCCCCC)C(=O)C9=C8C7=C(C=C9)C2=C65)C(=O)N(C(CCCC)CCCCCC)C3=O)=C1)=C4,5.15
CCCCCCCCOC1=CC(C2=CC3=C(S2)C2=C(C=C(/C=C4\C(=O)C5=CC=CC=C5C4=C(C#N)C#N)S2)C3(CC(CC)CCCC)CC(CC)CCCC)=C(OCCCCCCCC)C=C1C1=CC2=C(S1)C1=C(C=C(/C=C3\C(=O)C4=CC=CC=C4C3=C(C#N)C#N)S1)C2(CC(CC)CCCC)CC(CC)CCCC,9.41
CCCCCCOC1=CC(C2=CC3=C(S2)C2=C(C=C(/C=C4\C(=O)C5=CC=CC=C5C4=C(C#N)C#N)S2)C3(CC(CC)CCCC)CC(CC)CCCC)=C(OCCCCCC)C=C1C1=CC2=C(S1)C1=C(C=C(/C=C3\C(=O)C4=CC=CC=C4C3=C(C#N)C#N)S1)C2(CC(CC)CCCC)CC(CC)CCCC,10.52
CCCCC(CC)COC1=CC(C2=CC3=C(S2)C2=C(C=C(/C=C4\C(=O)C5=CC(F)=C(F)C=C5C4=C(C#N)C#N)S2)C3(CC(CC)CCCC)CC(CC)CCCC)=C(OCC(CC)CCCC)C=C1C1=CC2=C(S1)C1=C(C=C(/C=C3\C(=O)C4=CC(F)=C(F)C=C4C3=C(C#N)C#N)S1)C2(CC(CC)CCCC)CC(CC)CCCC,13.24
CCCCCCC1=CC(C2=CC3=C(S2)C2=C(C=C(/C=C4\C(=O)C5=CC=CC=C5C4=C(C#N)C#N)S2)C3(CC(CC)CCCC)CC(CC)CCCC)=C(CCCCCC)C=C1C1=CC2=C(S1)C1=C(C=C(/C=C3\C(=O)C4=CC=CC=C4C3=C(C#N)C#N)S1)C2(CC(CC)CCCC)CC(CC)CCCC,6.87
CCCCC(CC)COC1=C(C2=CC3=C(S2)C2=C(C=C(/C=C4\C(=O)C5=CC=CC=C5C4=C(C#N)C#N)S2)C3(CC(CC)CCCC)CC(CC)CCCC)C2=NN(CC(CC)CCCC)N=C2C(C2=CC3=C(S2)C2=C(C=C(/C=C4\C(=O)C5=CC=CC=C5C4=C(C#N)C#N)S2)C3(CC(CC)CCCC)CC(CC)CCCC)=C1OCC(CC)CCCC,13.24
CCCCC(CC)CN1C(=O)C2=C(C3=CC4=C(S3)C3=C(C=C(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S3)C4(CC(CC)CCCC)CC(CC)CCCC)SC(C3=CC4=C(S3)C3=C(C=C(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S3)C4(CC(CC)CCCC)CC(CC)CCCC)=C2C1=O,13.35
CCCCC(CC)CN1C(=O)C2=C(SC(C3=CC4=C(S3)C3=C(C=C(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S3)C4(CC(CC)CCCC)CC(CC)CCCC)=C2)C2=C(C=C(C3=CC4=C(S3)C3=C(C=C(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S3)C4(CC(CC)CCCC)CC(CC)CCCC)S2)C1=O,12.04
CCCCCCCCC(CCCCCC)COC1=CC(C2=CC(C3=CC=C(CCCCCC)C=C3)=C(/C=C3\C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)S2)=C(OCC(CCCCCC)CCCCCCCC)C=C1C1=CC(C2=CC=C(CCCCCC)C=C2)=C(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)S1,7.04
