index,SMILES,PCE
0,CCCCCCCCC(CCCCCC)CN1C(=O)C2=C(C3=CC=C(C4=CC5=C(S4)C(C4=CC=C(C(CC)CCCC)S4)=C4C=C(C6=CC=C(C7=C8C(=O)N(CC(CCCCCC)CCCCCCCC)C(C9=CC=C(C%10=CC=CC=C%10)S9)=C8C(O)N7CC(CCCCCC)CCCCCCCC)S6)SC4=C5C4=CC=C(C(CC)CCCC)S4)S3)N(CC(CCCCCC)CCCCCCCC)C(=O)C2=C1C1=CC=C(C2=CC=CC=C2)S1,0.77
1,CCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NN(CC(CC)CCCC)N=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C4C(=C3)C3=C4C4C=CC3C4)C2=C(C#N)C#N)=C1CCCCCCCC,16.82
2,CCCCCCC(CCC)CC1(CC(CCC)CCCCCC)C2=C(SC(/C=C3\C(=O)C4=C(C=C(Cl)C(Cl)=C4)C3=C(C#N)C#N)=C2)C2=C1C=C(C1=CC3=C(S1)C1=C(C=C(C4=CC5=C(S4)C4=C(C=C(/C=C6\C(=O)C7=C(C=C(Cl)C(Cl)=C7)C6=C(C#N)C#N)S4)C5(CC(CCC)CCCCCC)CC(CCC)CCCCCC)S1)C1=NSN=C13)S2,7.02
3,CCCCCCCCN1N=C2C(C=C(C#N)C#N)=CC=C(C3=CC4=C(S3)C3=CC5=C(C=C3C4(C3=CC=C(CCCCCC)C=C3)C3=CC=C(CCCCCC)C=C3)C3=C(C=C(C4=CC=C(C=C(C#N)C#N)C6=NN(CCCCCCCC)N=C46)S3)C5(C3=CC=C(CCCCCC)C=C3)C3=CC=C(CCCCCC)C=C3)C2=N1,5.78
4,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(SC4=C3SC(/C=C3\C(=O)C5=CC=CC=C5C3=C(C#N)C#N)=C4)C3=C2C2=C(S3)C3=C(S2)C2=C(C4=C(C=C(/C=C5\C(=O)C6=CC=CC=C6C5=C(C#N)C#N)S4)S2)C3(C2=CC=C(CCCCCC)C=C2)C2=CC=C(CCCCCC)C=C2)C=C1,9.4
5,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(/C=C2/C(=O)C5=CC=CC=C5C2=C(C#N)C#N)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC(/C=C3/C(=O)C4=C(C=CC=C4)C3=C(C#N)C#N)=C2)C=C1,2.21
6,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(SC(/C=C4\C(=O)C5=CC(F)=CC=C5C4=C(C#N)C#N)=C3)C3=C2C2=C(S3)C(C3=CC=C(CC(CC)CCCC)S3)=C3C(=C2C2=CC(Cl)=C(CC(CC)CCCC)S2)SC2=C3C(C3=CC=C(CCCCCC)C=C3)(C3=CC=C(CCCCCC)C=C3)C3=C2SC(/C=C2\C(=O)C4=CC(F)=CC=C4C2=C(C#N)C#N)=C3)C=C1,12.9
7,CCCCCCC(CCCC)CC1=C(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CC(CCCC)CCCCCC,18.32
8,CCCCCCC(C)CN1C(=O)C2=CC=C3C(=O)N(CC(CCCCCC)CCCCCC)C(=O)C4=C3C2=C(C1=O)C1=C4SC(C2=CC=C3C(=C2)C2(C4=C3C=CC(C3=CC5=C(S3)C3=C6C(=CC=C7C(=O)N(CC(CCCCCC)CCCCCC)C(=O)C5=C76)C(=O)N(CC(CCCCCC)CCCCCC)C3=O)=C4)C3=C(C=CC=C3)C3=C2C=CC=C3)=C1,5
9,CCCCC(CC)CC1(CC(CC)CCCC)C2=C(SC(/C=C3\C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)=C2)C2=C1C=C(C1=CC=C(C3=CC4=C(S3)C3=C(C=C(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S3)C4(CC(CC)CCCC)CC(CC)CCCC)C3=NSN=C13)S2,9.83
10,CCCCC(CC)CC1(CC(CC)CCCC)C2=C(C=CC=C2)C2=C1C=C1C(=C2)C2=C3C(=CC=C2)C2=C4C(=CC=CC4=C13)C1=CC3=C(C=C12)C(CC(CC)CCCC)(CC(CC)CCCC)C1=C3C=CC=C1,3.05
11,CCCCCCCCN1N=C2C(/C=C3/SC(=C(C#N)C#N)N(CC)C3=O)=CC=C(C3=CC4=C(S3)C3=CC5=C(C=C3C(C3=CC=C(CCCCCC)C=C3)(C3=CC=C(CCCCCC)C=C3)O4)C3=C(C=C(C4=CC=C(/C=C6/SC(=C(C#N)C#N)N(CC)C6=O)C6=NN(CCCCCCCC)N=C46)S3)OC5(C3=CC=C(CCCCCC)C=C3)C3=CC=C(CCCCCC)C=C3)C2=N1,6.31
12,CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C(Cl)C=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C4C=C(Cl)SC4=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,17.61
13,O=C(N(CC)/C(S/1)=C(C#N)\C#N)C1=C\C2=C(OC)C(OC)=C(C3=CC4=C(C5=C(C4(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)C=C(C8=C9C=C(C%10=C(OC)C(OC)=C(/C=C%11C(N(CC)/C(S/%11)=C(C#N)\C#N)=O)C%12=NN(CCCCCCCC)N=C%10%12)S8)C(C9(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14)=C5)S3)C%15=NN(CCCCCCCC)N=C2%15,5.31
14,O=C(C1=C(C)SC=C1C/2=C(C#N)\C#N)C2=C/C(S3)=CC4=C3C5=C(C4(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)C8=C(OCC(CC)CCCC)C9=C(C(C(C%10=CC=C(CCCCCC)C=C%10)(C%11=CC=C(CCCCCC)C=C%11)C%12=C%13SC(/C=C%14/C(C%15=CSC(C)=C%15C%14=O)=C(C#N)\C#N)=C%12)=C%13S9)C(OCC(CC)CCCC)=C8S5,10.96
15,CCCCCCCCC(CCCCCC)CN1C(=O)C2=CC=C3C4=C(C=CC(=C24)C1=O)C1=C2C4=C(C=C1)C(=O)N(CC(CCCCCC)CCCCCCCC)C(=O)C4=CC(C1=CC(F)=C(/C=C/C4=C(C#N)C=C(C5=C6C7=CC=C8C(=O)N(CC(CCCCCC)CCCCCCCC)C(=O)C9=C8C7=C(C=C9)C7=C6C6=C(C=C7)C(=O)N(CC(CCCCCC)CCCCCCCC)C(=O)C6=C5)S4)S1)=C32,4.32
16,CCCCC(CC)CN1C(=O)C2=CC=C3C4=NC5=C(N=C4C4=C3C2=C(C=C4)C1=O)C(C1=CC=CS1)=C1C(=O)N(CC(CC)CCCC)C(=O)C1=C5C1=CC=CS1,0.77
17,CCCCCCCCC1(CCCCCCCC)C2=CC3=C(C=C2C2=C1C=C(C1=C4C(F)=C(C(=O)OCC(CC)CCCC)SC4=C(/C=C4\C(=O)C5=CC(F)=C(F)C=C5C4=C(C#N)C#N)S1)S2)C(CCCCCCCC)(CCCCCCCC)C1=C3SC(C2=C3C(F)=C(C(=O)OCC(CC)CCCC)SC3=C(/C=C3\C(=O)C4=CC(F)=CC=C4C3=C(C#N)C#N)S2)=C1,10.82
18,CCCCCCCCN1N=C2C(/C=C3\SC(=O)N(CC)C3=O)=CC=C(C3=CC4=C(S3)C3=CC5=C(C=C3C4(C3=CC=C(CCCCCC)C=C3)C3=CC=C(CCCCCC)C=C3)C3=C(C=C(C4=CC=C(/C=C6\SC(=O)N(CC)C6=O)C6=NN(CCCCCCCC)N=C46)S3)C5(C3=CC=C(CCCCCC)C=C3)C3=CC=C(CCCCCC)C=C3)C2=N1,4.5
19,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(SC4=C3SC3=C4SC(/C=C4\C(=O)C5=CC=CC=C5C4=C(C#N)C#N)=C3)C3=C2C2=C(S3)C3=C(S2)C2=C(C4=C(S2)C2=C(C=C(/C=C5\C(=O)C6=C(C=CC=C6)C5=C(C#N)C#N)S2)S4)C3(C2=CC=C(CCCCCC)C=C2)C2=CC=C(CCCCCC)C=C2)C=C1,6.2
20,CCCCC(CC)CC1=CC=C(C2(C3=CC=C(CC(CC)CCCC)C=C3)C3=CC(C4=CC=C(C5=C(CC(CC)CCCC)C=C(/C=C6\C(=O)C7=C(C=CC=C7)C6=C(C#N)C#N)S5)S4)=CC=C3C3=C2C=C(C2=C(CC(CC)CCCC)C=C(/C=C4\C(=O)C5=CC=CC=C5C4=C(C#N)C#N)S2)S3)C=C1,5.26
21,O=C(C(C=C(Cl)C(Cl)=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC4=C(C5=C(C4(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)C=C(C8=C9C=C(/C=C%10C(C(C=C(Cl)C(Cl)=C%11)=C%11C\%10=C(C#N)/C#N)=O)S8)C(C9(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)=C5)S3,9.24
22,CCCCCCCCC1=C(/C=C2\C(=O)C3=CC(F)=C(F)C=C3C2=C(C#N)C#N)SC(C2=CC(CCCCCCCC)=C(C3=C(CCCCCCCC)C=C(C4=CC(CCCCCCCC)=C(/C=C5\C(=O)C6=CC(F)=C(F)C=C6C5=C(C#N)C#N)S4)S3)S2)=C1,5.53
23,O=C(N(CC)C(N(CC)C/1=O)=S)C1=C/C2=CC3=C(S2)C(C(C4=CC=C(CCCCCC)C=C4)(C5=CC=C(CCCCCC)C=C5)C6=C7SC8=C6SC9=C8C(C%10=CC=C(CCCCCC)C=C%10)(C%11=CC=C(CCCCCC)C=C%11)C%12=C9SC%13=C%12SC(/C=C%14C(N(CC)C(N(CC)C\%14=O)=S)=O)=C%13)=C7S3,13.2
24,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC=C(C4=CC(C5(CCCCCCCC)CCCCCCCC)=C(C=C4)C6=C5C(C(CCCCCCCC)(CCCCCCCC)C7=C8C=CC(C9=CC=C(/C=C%10C(C(C=CC=C%11)=C%11C\%10=C(C#N)/C#N)=O)S9)=C7)=C8S6)S3,10.1
25,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)OC3=C(SC4=C3SC3=C4OC(C4=CC=C(CCCCCC)C=C4)(C4=CC=C(CCCCCC)C=C4)C4=C3SC(/C=C3\C(=O)C5=C(C=CC=C5)C3=C(C#N)C#N)=C4)C3=C2C=C(/C=C2\C(=O)C4=C(C=CC=C4)C2=C(C#N)C#N)S3)C=C1,8.43
26,CCCCCCCCN1C(=O)C2=C(C3=CC=C(C4=CC5C(=O)N(C(CC)CC)C(=O)C5C=C4)S3)N(CCCCCCCC)C(=O)C2=C1C1=CC=C(C2=CC=C3C(=O)N(C(CC)CC)C(=O)C3=C2)S1,0.37
27,CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,16.37
28,CCCCC(CC)CN1C(=O)C2=C3C(=C(C4=CC=C(/C=C5\SC(=S)N(CC)C5=O)S4)C=C4C(=O)N(CC(CC)CCCC)C(=O)C(=C43)C(C3=CC=C(/C=C4\SC(=S)N(CC)C4=O)S3)=C2)C1=O,3.07
29,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(/C=C2\C(=O)C5=C(C=CC=C5)C2=C(C#N)C#N)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC3=C2SC(/C=C2\C(=O)C4=C(C=CC=C4)C2=C(C#N)C#N)=C3)C=C1,11.02
30,CCCCC(CC)CC1(CC(CC)CCCC)C2=C(SC(/C=C3\C(=O)C4=C(C=C(C)C(C)=C4)C3=C(C#N)C#N)=C2)C2=C1C=C(C1=CC3=C(S1)C1=C(C=C(/C=C4\CC5=C(C=C(C)C(C)=C5)\C4=C(/C)C#N)S1)C3(CC(CC)CCCC)CC(CC)CCCC)S2,3.68
31,CCCCCCC(CCCC)CN1C(=O)C2=C(C3=CC=C(C4=CC=C5C(=C4)C4(C6=CC(C7=CC=C(C8=C9C(=O)N(CC(CCCC)CCCCCC)C(C%10=CC=C(C=C(C#N)C#N)S%10)=C9C(=O)N8CC(CCCC)CCCCCC)S7)=CC=C6C6=C4C=C(C4=CC=C(C7=C8C(=O)N(CC(CCCC)CCCCCC)C(C9=CC=C(C=C(C#N)C#N)S9)=C8C(=O)N7CC(CCCC)CCCCCC)S4)C=C6)C4=C5C=CC(C5=CC=C(C6=C7C(=O)N(CC(CCCC)CCCCCC)C(C8=CC=C(C=C(C#N)C#N)S8)=C7C(=O)N6CC(CCCC)CCCCCC)S5)=C4)S3)N(CC(CCCC)CCCCCC)C(=O)C2=C1C1=CC=C(C=C(C#N)C#N)S1,3.85
32,CCCCCCCCC1=C(C2=CC=C(C3=C4C(=O)N(CC(CC)CCCC)C(C5=CC=C(C6=C(CCCCCCCC)C=C(C=O)S6)S5)=C4C(=O)N3CC(CC)CCCC)S2)SC=C1,0.24
33,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C2=C(S3)C3=C(C=C(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S3)N2CC(CC)CCCC)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC3=C2N(CC(CCCC)CCCCCC)C2=C3SC(/C=C3\C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)=C2)C=C1,10.9
34,CCCCC(CC)CN1N=C2C(=N1)C1=C(C3=C2C2=C(C4=C(C=C(/C=C5\C(=O)C6=C(C=CC=C6)C5=C(C#N)C#N)S4)S2)N3CC(CC)CCCC)N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=CC=C3)C2=C(C#N)C#N)=C1,13
35,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(/C=C2\C(=O)C5=C(C=C(F)C(F)=C5)C2=C(C#N)C#N)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC(/C=C3\C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)=C2)C=C1,13.8
36,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C2=C(C=C(/C=C5/C(=O)C6=C(C=CC=C6)S5(=O)=O)S2)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC3=C2SC(/C=C2\C(=O)C4=C(C=CC(F)=C4)S2(=O)=O)=C3)C=C1,2.36
37,CCCCCCC(CCCC)C1=C(C2=CC(C3=C(C)C=C(C)C=C3C)=C(C3=C(C4=C(C)C=C(C)C=C4C)C=C(C4=C(C(CCCC)CCCCCC)C=C(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S4)S3)S2)SC(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1,10.4
38,CCCCCCCCN1C(=O)C2=C(C3=CC=C(C#CC4=CC5=C(C=C4)C(=O)N(CC(CC)CCCC)C5=O)S3)N(CCCCCCCC)C(=O)C2=C1C1=CC=C(C#CC2=CC=C3C(=O)N(CC(CC)CCCC)C(=O)C3=C2)S1,0.02
39,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC4=C(S3)C(C(C5=CC=C(CCCCCC)C=C5)(C6=CC=C(CCCCCC)C=C6)C7=C8SC9=C7SC%10=C9C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C%10SC%14=C%13SC(/C=C%15C(C(C=CC=C%16)=C%16C\%15=C(C#N)/C#N)=O)=C%14)=C8S4,11.07
40,O=C1C2=C(C=CC=C2)C(/C1=C/C3=C(CCCCCC)C(S4)=C(S3)C5=C4C6=C(N5CC(CC)CCCC)C7=C(C(SC8=C9SC(/C=C%10/C(C(C=CC=C%11)=C%11C%10=O)=C(C#N)\C#N)=C8CCCCCC)=C9N7CC(CC)CCCC)C%12=NN(CC(CC)CCCC)N=C6%12)=C(C#N)/C#N,13
41,CCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NN(CC(CC)CCCC)N=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)=C1CCCCCCCC,14.4
42,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(C(C4=CC=C(CCCCCC)C=C4)(C5=CC=C(CCCCCC)C=C5)C6=C7SC8=C6C(OCCCCCC)=CC9=C8C=C(OCCCCCC)C%10=C9SC%11=C%10C(C%12=CC=C(CCCCCC)C=C%12)(C%13=CC=C(CCCCCC)C=C%13)C%14=C%11SC(/C=C%15C(C(C=C(F)C(F)=C%16)=C%16C\%15=C(C#N)/C#N)=O)=C%14)=C7S3,11
43,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC=C(C4=CC(OC(C5=CC=C(CCCCCC)C=C5)(C6=CC=C(CCCCCC)C=C6)C7=CC8=C(C=C97)C(C%10=CC=C(CCCCCC)C=C%10)(C%11=CC=C(CCCCCC)C=C%11)OC%12=C8SC(C%13=CC=C(/C=C%14C(C(C=CC=C%15)=C%15C\%14=C(C#N)/C#N)=O)S%13)=C%12)=C9S4)S3,9.21
44,CCCCC(CC)COC(=O)/C(C#N)=C/C1=CC=C(C2=CC=C(C3=C4OCCOC4=C(C4=CC=C(C5=CC=C(/C=C(\C#N)C(=O)OCC(CC)CCCC)S5)S4)S3)S2)S1,1.85
45,CCCCC(CC)CN1C(=O)C(C#N)=C(C)/C(=C\C2=CC3=C(I2)C2=C(C=C(C4=CC=C(N(C5=CC=CC=C5)C5=CC=CC=C5)C=C4)B2)N3CC(CC)CCCC)C1=O,2.14
46,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=C4C(OCCO4)=C(C5=CC6=C(C7=CC(C8(C9=CC=C(CCCCCC)C=C9)C%10=CC=C(CCCCCC)C=C%10)=C(C%11=C8C=C(C%12=C(OCCO%13)C%13=C(/C=C%14C(C(C=C(F)C(F)=C%15)=C%15C\%14=C(C#N)/C#N)=O)S%12)S%11)C=C7C6(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17)S5)S3,11.32
47,CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C4SC=CC4=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C4SC(Br)=CC4=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,14.51
