,SMILES,PCE
0,C#C/C=C/C(CCCCCC)CN1C(=O)C2=C(C3=CC=C(C4=CC=C(C(C5=CC=C(C6=CC=C(C7=C8C(=O)N(CC(CCCC)CCCCCC)C(C9=CC=C(C=C(C#N)C#N)S9)=C8C(=O)N7CC(CCCC)CCCCCC)S6)C=C5)=C(C5=CC=C(C6=CC=C(C7=C8C(=O)N(CC(CCCC)CCCCCC)C(C9=CC=C(C=C(C#N)C#N)S9)=C8C(=O)N7CC(CCCC)CCCCCC)S6)C=C5)C5=CC=C(C6=CC=C(C7=C8C(=O)N(CC(CCCC)CCCCCC)C(C9=CC=C(C=C(C#N)C#N)S9)=C8C(=O)N7CC(CCCC)CCCCCC)S6)C=C5)C=C4)S3)N(CC(CCCC)CCCCCC)C(=O)C2=C1C1=CC=C(C=C(C#N)C#N)S1,4.01
1,CCCCCCCCC1(CCCCCCCC)C2=NC3=C(N=C2C2=C1C=C1C(=C2)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C1SC(/C=C1\C(=O)C4=C(C=C(F)C(F)=C4)C1=C(C#N)C#N)=C2)C(CCCCCCCC)(CCCCCCCC)C1=C3C=C2C(=C1)C1=C(C=C(/C=C3\C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)S1)C2(C1=CC=C(CCCCCC)C=C1)C1=CC=C(CCCCCC)C=C1,6.92
2,CCCCC(CC)COC1=C(C2=CC3=C(S2)C2=C(C=C(/C=C4\C(=O)C5=C(C=C(F)C(F)=C5)C4=C(C#N)C#N)S2)C3(CC(CC)CCCC)CC(CC)CCCC)C2=NN(CC(CC)CCCC)N=C2C(C2=CC3=C(S2)C2=C(C=C(/C=C4\C(=O)C5=C(C=C(F)C(F)=C5)C4=C(C#N)C#N)S2)C3(CC(CC)CCCC)CC(CC)CCCC)=C1OCC(CC)CCCC,13.8
3,CCC(CC)N1C(=O)C2=CC=C(C3=CC=C(C4=C5C(=O)N(C(CC)CC)C(=O)C6=CC(C7=CC=C(C8=CC9C(=O)N(C(CC)CC)C(=O)C9C=C8)S7)=C7C(=O)N(C(CC)CC)C(=O)C(=C4)C7=C65)S3)C=C2C1=O,0.056
4,O=C(C1=C/2C=CC=C1)C(CC3=CC4=C(S3)C5=C(C6=CC(C7(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)=C(C8=C7C(SC(/C=C9C(C(C=CC=C%10)=C%10C\9=C(C#N)/C#N)=O)=C%11)=C%11S8)C=C6C5(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)S4)C2=C(C#N)\C#N,11.2
5,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)S3)C3=CC4=C(C=C3C3=C2C2=C(C=C(/C=C5\C(=O)C6=C(C=CC=C6)C5=C(C#N)C#N)S2)S3)C(C2=CC=C(CCCCCC)S2)(C2=CC=C(CCCCCC)S2)C2=C4SC3=C2SC(/C=C2\C(=O)C4=C(C=CC=C4)C2=C(C#N)C#N)=C3)S1,8.88
6,CCCCCCCCN1N=C2C(/C=C3\SC(=O)N(CC)C3=O)=CC=C(C3=CC4=C(S3)C3=CC5=C(C=C3C4(C3=CC=C(CCCCCC)C=C3)C3=CC=C(CCCCCC)C=C3)C3=C(C=C(C4=CC=C(/C=C6\SC(=O)N(CC)C6=O)C6=NN(CCCCCCCC)N=C46)S3)C5(C3=CC=C(CCCCCC)C=C3)C3=CC=C(CCCCCC)C=C3)C2=N1,4.5
7,CCCCCCCCCCC1(CCCCCCCCCC)C2=C(C=CC(C3=CC=C(C=C4SC(SCCCCCC)=C(SCCCCCC)S4)C4=NSN=C34)=C2)C2=C1C=C(C1=CC=C(C=C3SC(SCCCCCC)=C(SCCCCCC)S3)C3=NSN=C13)C=C2,5.51
8,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C2=C(C=C(/C=C5\C(=O)C6=C(C=C(OC)C(OC)=C6)C5=C(C#N)C#N)S2)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC3=C2SC(/C=C2\C(=O)C4=C(C=CC=C4)C2=C(C#N)C#N)=C3)C=C1,12.07
9,CCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCCC,15.9
