,SMILES,PCE,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BCUT2D_MWHI,BCUT2D_MWLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8
0,CCCCCCC(CCCC)CC1=C[C]SC(C2=CC3=C(S2)C2=C(C=C(C4=CC(CC(CCCC)CCCCCC)=C(C5=CC6=C(C7=CC(Cl)=C(CC(CC)CCCC)S7)C7=C(C=C[C]S7)C(C7=CC(Cl)=C(CC(CC)CCCC)N7)=C6S5)S4)S2)C2=NSN=C23)=C1,17.97,2.305568261,-2.195659915,2.571183919,-2.049858802,8.10085157,0.410647345,35.49679756,9.885337127,1.055451535,3942.192528,63.38295392,55.2982361,63.34206664,44.5741394,35.04759753,42.24929928,26.23654694,34.65266759,19.43395132,28.90172541,14.07657353,23.38568253,0,0,0,0,17.75371814,70.48853821,261.4330779,23.5237699,56.68392939,132.5818662,31.94895974,1399.466873,0.483516484,1.065934066,1.725274725,0.512820513,-2.68,91,1306.321,3.34E+23,69.66309649,34.00686754,16.49249381,588.4487566,7.439723726,0.357082321,7.439723726,0.113704919,0.58648198,0.113704919,0.58648198,-0.357082321,29.97588,416.3497,1402.081,1,3,0,2,2,2,7,9,10,1,13,4,37,484,4.983978521,11.03340144,0,0,0,0,0,0,8.747079963,80.20769929,250.9195566,108.5291407,87.31400188,42.67900102,11,0,167.4107569,0,13.73105848,23.67162418,240.0683865,0,108.3254665,0,41.20656695,0,0,0,115.1377664,13.73105848,19.26246487,35.1773314,242.4855635,65.09485074,10.04526663,93.4795574,41.57,14.1033959,29.53506655,15.88629674,5.508762279,11.03593215,9.826434681,14.65267857,43.84188666,18.66510202
1,CCCCC(CC)CC1=C(F)C=C(C2=NC3=C(C4=CC=C(C5=CC6=C(S5)C(C5=CC(F)=C(CC(CC)CCCC)S5)=C5C=C[C]SC5=C6C5=CC(F)=C(CC(CC)CCCC)S5)S4)C(F)=C(F)C(C4=CC=C[C]S4)=C3N=C2C2=CC(F)=C(CC(CC)CCC)S2)S1,17.62,2.33092802,-2.193099669,2.565972958,-2.041936901,8.098926581,0.444207624,32.16839868,9.944866495,1.118277849,4127.446175,64.03550074,53.1008335,59.63280615,44.21687381,32.71648972,39.24846237,24.32534788,32.73605051,18.16142007,26.88692736,12.79143905,21.56974969,11.63444168,0,26.34249029,68.65285586,66.80997107,169.0090745,80.57854848,47.7639474,18.21840728,72.96197188,9.967957042,1376.383488,0.428571429,0.89010989,1.384615385,0.413333333,-4.26,91,1299.363,8.93E+22,68.13561967,31.0831701,14.62751351,566.8104765,17.95796084,0.2421277,17.95796084,0.16996401,0.087084582,0.16996401,-1.109569314,-0.2421277,27.47448,386.178,1377.987,0,2,0,2,2,2,7,9,10,0,16,4,30,478,0,45.69014079,11.63444168,0,0,0,0,36.31044733,0,91.54448517,176.0063024,103.4589518,74.90799185,32.38690458,11,26.34249029,123.6451874,0,9.967957042,23.67162418,182.2809919,0,143.8131739,0,62.21824082,0,26.34249029,0,91.54448517,9.967957042,25.68328649,70.08065644,182.3377137,71.66413338,0,94.31894301,25.78,102.7402948,11.0426839,19.18866138,0.890522807,3.265612617,4.348876141,12.19173278,26.54175141,17.2898642
2,CCCCCCC(CCCC)CC1=C[C]SC(C2=CC3=C(S2)C2=C(C=C(C4=CC(CC(CCCC)CCCCCC)=C(C5=CC6=C(C7=CC(F)=C(CC(CC)CCCC)S7)C7=C(C=C[C]S7)C(C7=CC(F)=C(CC(CC)CCCC)N7)=C6S5)S4)S2)C2=NSN=C23)=C1,17.21,2.308163949,-2.194988325,2.567090231,-2.049860036,8.100846791,0.410647297,32.16868639,9.88533712,1.055451535,3942.192528,63.38295392,55.2982361,61.83020875,44.5741394,35.04759753,41.49337034,26.23654694,33.83826733,19.43395132,28.09030014,14.07657353,22.77111207,0,0,8.780830095,11.63444168,35.7863738,128.7826438,175.0610501,40.92692285,57.48953069,114.3731119,8.747079963,1367.525974,0.483516484,1.065934066,1.725274725,0.512820513,-3.4,91,1273.411,3.34E+23,68.96682847,33.51417658,16.20022018,576.173295,16.74549815,0.355876464,16.74549815,0.144011627,0.096687288,0.144011627,-0.160139327,-0.355876464,28.94728,406.2457,1369.171,1,3,0,2,2,2,7,9,10,1,13,4,37,484,4.983978521,22.66784312,0,0,0,0,0,8.780830095,8.747079963,80.20769929,227.7176769,108.5291407,75.92614589,44.02159038,11,8.780830095,144.2088771,0,13.73105848,23.67162418,240.0683865,0,109.9146415,0,41.20656695,0,8.780830095,0,91.93588663,13.73105848,19.26246487,46.81177308,242.4855635,65.09485074,0,93.4795574,41.57,47.24209699,13.92413717,14.27489821,3.499411039,9.498426551,9.014173159,13.43336006,41.67377453,18.27305563
3,CCCCC(CC)CC1=CC=C(C2=C3C=C(C4=C(Cl)C(Cl)=C[C]S4)SC3=C(C3=CC=C(CC(CC)CCCC)S3)C3=C2SC[C]=C3)S1,17.1,2.277116028,-2.19614343,2.548959689,-2.013611346,8.102031712,0.451702474,35.49861487,9.947066773,1.501036485,1780.902943,32.91527384,27.77149741,33.36583821,22.9477533,17.14575197,22.1532658,12.61185137,18.61954395,9.377577697,15.71399284,6.616463471,12.79887281,0,0,0,0,10.0645727,27.37094941,115.3887871,17.83790506,45.77224258,75.93167796,23.20187978,753.1345367,0.787234043,1.425531915,2.042553191,0.425,-0.92,47,711.681,59930008790,35.8904173,16.85922176,8.02886164,312.6792377,6.848183123,0.140256452,6.848183123,0.08108126,0.554262031,0.08108126,0.554262031,-0.140256452,15.61388,218.445,755.025,0,0,0,2,2,1,3,4,5,0,7,3,15,247,0,0,0,0,0,0,0,0,0,57.53412753,102.2634016,78.80080249,61.15225668,15.81742631,6,0,101.8033081,0,0,11.83581209,96.7986485,5.752853607,78.49619494,0,20.88119737,0,0,0,80.73600731,5.752853607,12.84164325,23.66468581,99.25641485,51.36791163,0,41.94849812,0,1.327127041,22.68413777,9.248543251,2.489614404,4.040546293,5.634046258,11.91785783,20.24879133,9.298224706
4,CCCCCCCCC1=C[C]SC(C2=C(C#N)C=C(C3=CC(CCCCCCCC)=C(C4=CC5=C(C6=CC(F)=C(C(CC)CCCC)S6)C6=C(C=CS6)C(C6=CC(F)=C(C(CC)CCCC)S6)=C5S4)S3)S2)=C1,17.1,2.285444034,-2.12896255,2.556782553,-1.961127469,8.100722156,0.537839219,32.16719322,9.965032349,1.257177024,2859.087986,50.56332744,43.46808272,49.18355879,35.24330826,27.31443867,33.09307097,19.82088166,26.94080098,14.54892295,22.84190367,10.41167227,18.83403362,0,5.261891555,8.780830095,23.47025377,0,141.6597003,96.39703546,57.10902846,34.80630589,95.16206938,0,1093.375605,0.555555556,1.125,1.736111111,0.483870968,-2.88,72,1021.154,1.37E+16,55.35482076,27.25110093,12.84913073,458.464928,16.41740778,0.20574506,16.41740778,0.13750434,0.085746209,0.13750434,-0.085746209,-0.20574506,24.25397,322.172,1094.738,0,1,0,1,1,1,6,7,8,0,10,2,29,382,0,17.70366299,0,0,0,0,0,8.780830095,5.261891555,79.78260022,137.509946,122.1932264,75.22150531,16.19345229,8,8.780830095,104.860025,5.261891555,0,0,194.636311,0,102.6490498,0,46.45900746,0,8.780830095,0,79.78260022,0,6.420821623,28.71840816,213.9738339,59.50340992,0,65.46721092,23.79,35.13224342,12.04310682,10.67667574,15.02197485,5.601236785,3.689150016,15.37251684,29.60549176,13.35760377
5,[C]C(S1)=CC2=C1C(C3=CC(F)=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=C6C(C(C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C6=O)=O)=C(C8=CC=C([C])S8)S5)S4)S9)C9=C2C%10=CC(F)=C(CC(CC)CCCC)S%10,16.4,2.42168191,-2.188190587,2.565239236,-2.217879894,7.306440821,0.097986084,32.14332179,9.808413386,1.135133443,3568.757818,57.93105274,48.9087507,55.44072335,39.75054731,30.40301467,36.93498731,22.89770088,31.65349557,17.3068436,26.68900045,12.35114488,22.04439603,0,0,18.36990446,23.20093157,68.52136778,205.3997468,56.68392939,52.20945884,12.13273414,73.5889988,13.8474744,1242.357906,0.37804878,0.792682927,1.231707317,0.457142857,-3.46,82,1167.3,2.02E+18,61.62109419,27.49325254,12.55158218,519.0464036,16.45615115,0.288460238,16.45615115,0.1966782,0.050487265,0.1966782,-0.176161484,-0.288460238,24.78158,357.603,1243.908,0,2,1,0,1,1,8,9,10,0,12,6,29,430,0,11.63444168,11.56648989,0,0,0,9.589074368,8.780830095,0,90.69428702,158.1230436,97.88584722,114.799335,20.88119737,10,18.36990446,122.4330652,0,0,23.67162418,183.8063301,0,125.5295418,0,50.14408053,0,8.780830095,0,90.69428702,11.56648989,25.68328649,49.15354027,219.2288071,48.53093655,0,70.31636879,34.14,34.81568864,12.34910472,43.02921258,1.864590046,4.103340323,1.178861643,15.55987614,20.26388814,35.50210444
6,CCCCCCCCC(CCCCCC)COC1=NC2=C(N=C1)C(C1=CC=C(C3=CC4=C(C5=CC(F)=C(CC(CC)CCCC)S5)C5=C(C=C[C]S5)C(C5=CC(F)=C(CC(CC)CCCC)S5)=C4S3)S1)=C(F)C(F)=C2C1=CC=C[C]S1,16.34,2.310033969,-2.193099702,2.559568861,-2.135024261,8.098900703,0.217034006,32.16816585,9.944866901,1.133335794,3305.540955,56.83091215,48.11038285,53.00936234,39.58231355,30.08732942,34.9863089,22.04434639,28.18154935,16.16757619,22.61471826,11.39965716,17.89335048,11.63444168,0,17.56166019,33.7947461,52.86451539,137.9847247,108.9007005,47.89442391,18.20875424,65.19051759,14.70482,1206.437454,0.543209877,1.135802469,1.777777778,0.470588235,-3.72,81,1129.155,1.45E+18,61.82926713,30.38327919,14.86241787,504.5629781,17.19139442,0.476264668,17.19139442,0.232426526,0.041348945,0.232426526,-0.996430692,-0.476264668,24.32758,345.97,1207.779,0,3,0,2,2,2,5,7,9,0,13,4,32,430,4.736862954,22.66784312,11.63444168,5.879988336,0,0,0,27.52961723,0,68.87091341,181.4212928,85.40831157,65.15369746,35.43633573,9,22.29852314,100.9716156,0,9.967957042,17.75371814,187.6959824,6.606881965,116.4885473,0,46.95607878,4.736862954,17.56166019,5.879988336,68.87091341,16.57483901,12.84164325,52.52830872,190.840053,65.72824282,0,73.17679263,35.01,74.50192468,8.755051618,16.85459422,0.944791725,3.441173677,5.569009935,9.416144569,35.08692007,13.76372283
7,CCCCCCCCC(CCCCCC)COC1=NC2=C(N=C1C)C(C1=CC=C[C]S1)=C(F)C(F)=C2[C],16.32,2.246505521,-2.192483331,2.396658575,-2.144551746,8.098749652,0.215662941,32.16655784,9.947493458,1.776421567,1083.042936,26.6227451,22.46864195,23.28513853,17.97276421,13.8064146,14.62291118,9.882102055,10.76175487,6.846717742,7.660771748,4.663062224,5.371590304,17.19789317,8.780830095,0,16.59685293,29.00384086,12.84164325,75.97010118,25.15179752,0,29.56828505,11.66060015,525.2751163,0.918918919,1.567567568,2.216216216,0.548387097,-1.95,37,486.417,161611846.8,29.6036888,15.45902219,8.265679891,226.1287211,14.95245691,0.476072716,14.95245691,0.235465197,0.01478982,0.235465197,-1.22265759,-0.476072716,9.5513,150.224,525.729,0,3,0,1,1,1,1,2,4,0,6,5,16,199,4.736862954,16.72732943,11.63444168,5.879988336,0,0,0,18.74878714,0,11.76188495,90.20773084,31.7593066,17.39232521,17.92318706,3,13.51769305,27.7004229,0,9.967957042,5.917906046,97.82107107,6.606881965,59.35992379,0,5.879988336,4.736862954,8.780830095,5.879988336,11.76188495,16.57483901,0,37.15267573,107.7181649,18.22806032,0,15.93853795,35.01,35.83527385,1.165973155,9.535183087,0,0.118717238,1.336680367,0,19.75780945,14.91702952
8,CCCCCCCCC(CCCCCC)CN1B(C2=CC=CC=C2)C2=C(SC(C3=CC=C(C4=C5C(=O)C6=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C6C(=O)C5=C(C5=CC=C[C]S5)S4)S3)=C2)C2=CC3=C(C=C21)C1=C(C=C[C]S1)B(C1=CC=CC=C1)N3CC(CCCCCC)CCCCCCCC,16.1,2.45893453,-2.445233822,2.558918678,-2.598144687,8.10355493,0.097930957,32.16840905,9.453105278,1.024307693,4108.587213,73.73004261,65.62736464,70.52634412,52.14148641,42.24024815,47.13922763,31.47617465,37.55022138,23.73612519,30.69563057,17.69125238,24.54494935,0,0,9.589074368,25.26184331,34.79852717,104.8738613,230.8404819,23.09867083,57.9242828,185.7410166,0,1522.786018,0.405660377,0.877358491,1.41509434,0.510638298,-4.81012987,106,1403.072,1.05E+31,80.70071365,40.92905501,19.19781198,666.2242094,16.30942752,0.406002287,16.30942752,0.32459057,0.006663432,0.32459057,-0.006663432,-0.406002287,27.82038,474.9,1524.032,0,4,1,4,5,3,4,7,10,0,12,4,45,560,9.621845482,0,11.56648989,0,0,13.69535342,9.589074368,0,0,68.87091341,331.0662607,109.5396689,85.79124752,32.38690458,12,9.589074368,131.7062121,0,0,23.67162418,273.6978328,22.71135829,180.8024691,0,29.94918746,26.01025526,11.37477255,0,68.87091341,38.35135612,12.84164325,35.1773314,312.8939629,126.8480629,0,39.75946049,40.62,0,10.62343695,49.59374526,0,13.61805937,9.260791227,35.7292407,52.53630453,20.63842196
9,FC1=C(CC(CCCC)CC)SC(C2=C(C=C(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C([C])S7)S4)S3)S8)C8=C(C9=CC(F)=C(CC(CCCC)CC)S9)C%10=C2SC([C])=C%10)=C1,15.98,2.42168191,-2.188190587,2.565239236,-2.217879894,7.306440821,0.097986084,32.14332179,9.808413386,1.135133443,3568.757818,57.93105274,48.9087507,55.44072335,39.75054731,30.40301467,36.93498731,22.89770088,31.65349557,17.3068436,26.68900045,12.35114488,22.04439603,0,0,18.36990446,23.20093157,68.52136778,205.3997468,56.68392939,52.20945884,12.13273414,73.5889988,13.8474744,1242.357906,0.37804878,0.792682927,1.231707317,0.457142857,-3.46,82,1167.3,5.29E+18,61.62109419,27.49325254,12.55158218,519.0464036,16.45615115,0.288460238,16.45615115,0.1966782,0.050487265,0.1966782,-0.176161484,-0.288460238,24.78158,357.603,1243.908,0,2,1,0,1,1,8,9,10,0,12,6,29,430,0,11.63444168,11.56648989,0,0,0,9.589074368,8.780830095,0,90.69428702,158.1230436,97.88584722,114.799335,20.88119737,10,18.36990446,122.4330652,0,0,23.67162418,183.8063301,0,125.5295418,0,50.14408053,0,8.780830095,0,90.69428702,11.56648989,25.68328649,49.15354027,219.2288071,48.53093655,0,70.31636879,34.14,34.81568864,12.34910472,43.02921258,1.864590046,4.103340323,1.178861643,15.55987614,20.26388814,35.50210444
